SSN,Passport,Driver's License,Credit Card Number
574-61-5357,322830914,6732804,4485369669689860
574-48-9686,590281988,1082386,344444247539203
574-14-2933,955545777,5665129,6011928553040850
574-54-6891,664616849,2374812,5446407126286250
574-20-3574,325323068,8178103,4438615152615180
574-07-4541,614446340,446432,344245441032477
574-98-3831,110656917,7595256,6011343909273770
574-18-4637,145205942,4576001,5409860864199050
574-40-4673,233387650,9853406,4916444580820130
574-81-6844,180207914,3399982,377930670719098
574-63-1053,254259939,7394466,6011413077633950
574-70-5609,426659125,817760,5492105530346020
574-97-7097,906717776,3187529,4539288354931090
574-80-7728,337908004,2661186,349414935926819
574-27-7025,411751042,3380225,6011882488727640
574-47-8420,655292954,1641016,5178752590256060
574-73-5159,876683145,1737200,4532501317784310
574-66-1033,371145494,5539266,343426536764148
574-08-0449,269713697,181674,6011056546782660
574-74-8143,468819756,9027354,5322435342130010
574-96-5550,768888065,6268298,4929227315763480
574-74-2909,963506320,6322349,379573484290589
574-06-5407,846111944,4635854,6011742959278170
574-27-6507,491642431,4055714,5145234388152910
574-46-0099,739819471,2149519,4024007103513620
574-84-8372,235271749,3140753,378313180686785
574-28-3743,462426049,424600,6011879489065940
574-24-8355,973621281,1632068,5129790066360750
574-25-0203,132463786,9317495,4024007167597760
574-31-5387,665075381,4288973,344357287506140
574-98-5446,574598538,4852517,6011897763792390
574-54-3452,555563127,6572557,5224078499952480
574-53-8842,406827886,1386092,4485533969717470
574-16-1212,859616981,957624,376118477362467
574-77-9407,915379345,5821946,6011258828991190
574-19-5144,551963711,5302539,5259864300657360
574-28-8261,813749324,2900267,4485320371642390
574-06-6056,308697783,186509,372096251483697
574-46-7022,565387526,3506798,6011231485752000
574-21-2141,254273282,2194000,5427975479852770
574-24-7033,903328603,5761525,4929307291681950
574-77-3732,442991980,4848223,346008228673980
574-19-5574,705296631,4760153,6011827889164160
574-78-5307,279440223,7022683,5546858944655900
574-59-9312,162637681,4249532,4929669962665650
574-97-5633,481511265,267579,371962812308684
574-09-5098,765555121,9982029,6011712854003310
574-82-2037,671931735,9101794,5212693261666700
574-96-5836,519218384,7722166,4929024539000010
574-03-3901,930931274,245357,344956767588492
574-84-4695,168442529,7858065,6011486948892790
574-64-7293,285534735,8611209,5207418104933170
574-89-6525,191054942,6420745,4024007195985640
574-75-0069,535348540,770931,372550106535507
574-32-9075,422060793,8442244,6011643852667210
574-57-9304,579541181,4556222,5320513983365600
574-84-0189,650073562,724662,4716296276760640
574-44-8150,547850575,8953389,341603974636150
574-72-2479,154769218,199239,6011436828406800
574-38-6120,455611491,2335463,5265815249322040
574-52-0563,961146664,8402843,4924478197635620
574-76-9799,539352225,1604565,343612827845452
574-03-1887,184232300,8952349,6011781221407010
574-46-4696,868769232,7778687,5163146403852540
574-25-8987,378006534,9608759,4539717379553040
574-95-0611,598044772,6041817,348692482978512
574-30-3232,514764705,5059891,6011647136002310
574-76-0333,861087563,7186283,5202011412433570
574-58-6232,671525323,5275824,4556872657757810
574-51-6237,415407361,8388680,344772413488353
574-63-6055,259818931,9916115,6011466045777270
574-53-7900,931346612,951290,5404957763714070
574-42-3977,565138698,8861845,4556749074680800
574-14-4265,854876675,9326193,346074668171851
574-99-0531,404377709,9840077,6011251664762420
574-25-1555,716192814,3663677,5158378606627060
574-71-7175,491776685,9456082,4716451835143320
574-08-3633,749757558,112571,347014788814252
574-64-0400,529856547,5236658,6011193220479350
574-21-8400,600429863,8936704,5447148084269250
574-97-1173,851332633,7376365,4485097828004680
574-44-5677,249041092,7411148,341845384914640
574-31-3132,529185519,8940852,6011723000743840
574-72-3616,408707029,7624903,5335012514668550
574-92-1668,378471210,6621885,4539282775901200
574-37-8454,686392829,7894918,371821002952059
574-46-5476,263167725,3229271,6011596445699490
574-61-2355,924255611,8508726,5321018799430270
574-35-4765,565114008,1922605,4532791191384110
574-36-3158,831750887,3441993,344547655424864
574-09-7623,674720476,3965803,6011772053217200
574-99-0658,830145028,5491614,5219126968585660
574-61-4526,141674196,6198674,4556077220318460
574-01-2538,440644995,2634355,370100398614792
574-42-9021,652693654,1465496,6011219457867700
574-89-3544,593368758,2706571,5342804867643070
574-84-6700,383283990,2936348,4485529024474610
574-04-5273,135848099,5009777,341558497991047
574-28-9723,850216726,9680499,6011511862952330
574-27-3448,850841505,4727300,5302897136402400
574-59-5596,637023545,6316185,4485755517615390
574-43-7366,202124744,6427839,343190889718503
574-27-8956,895623280,6704114,6011352792680910
574-11-2845,316494120,192653,5417399784865910
574-98-4013,891282278,4948851,4716628811306500
574-03-9658,848562630,481317,345125034662402
574-33-4423,178775941,3379021,6011772450836530
574-15-8008,973927238,9724864,5339592901443940
574-90-6598,554005280,7872495,4556644270801170
574-91-7543,503499805,3101020,378227669769641
574-72-1238,230469928,8579300,6011499068475250
574-14-1174,679383970,5876658,5113666017530520
574-58-3741,234121017,6506089,4716337358743000
574-41-5905,825316979,4872991,347466281141171
574-47-5199,151737317,5282620,6011249339943790
574-28-0453,123736027,2711423,5279724094030450
574-88-0889,107624999,3424829,4556116419488550
574-42-5116,883982895,2811081,373930175711453
574-35-5216,514844398,5931862,6011755010725340
574-08-7699,529469433,7078218,5392957937043030
574-40-6580,827333243,5781413,4024007187676060
574-20-6631,600201406,9905879,370384371440645
574-44-8286,803094875,8870155,6011419212953950
574-22-0284,790716685,3024168,5177842098738120
574-04-3137,564683846,3388106,4786810970927730
574-52-4241,632643204,4092468,379688370902509
574-79-9586,545742014,4382211,6011493812594800
574-14-1926,190033116,9985721,5206016565154450
574-49-7901,405364166,7164070,4716685986801030
574-01-7736,726936640,6541892,371157213632697
574-85-5996,913429055,7454358,6011254303774360
574-28-5842,691905592,9259427,5589036453521060
574-70-3129,166730397,7919438,4351527226733180
574-49-2906,672861657,5557742,379013688219605
574-69-9850,333700621,5883505,6011666101888200
574-06-3808,854387771,3313783,5358854337738090
574-32-0959,381839578,4770475,4929799769996720
574-70-6181,689751588,5328457,340760404602920
574-51-8536,524332739,3752081,6011260816323860
574-90-3021,748430309,3736600,5186985454030040
574-56-3453,503644855,6252800,4716415612943850
574-80-0771,916117611,5379302,342029094573512
574-71-7890,115642894,8063561,6011941203696080
574-25-1983,874415601,9611170,5314496440573890
574-10-0238,835858194,2666377,4716514588593770
574-53-7972,353875985,2656590,345474265797721
574-90-0344,231299015,2884723,6011211874201330
574-98-4139,470400263,2056815,5489090053229780
574-78-3601,995070661,7433417,4539331220923060
574-71-3081,573844740,5769364,376712939165599
574-13-1484,519406588,9209295,6011622721121860
574-04-1553,548340442,6441524,5465588233046150
574-63-5929,322636228,1599777,4716223535809280
574-92-7610,656856198,7810645,342491693111658
574-41-0817,775008304,7675455,6011919948637530
574-48-7878,507984609,5396165,5144258960088080
574-45-6508,470746271,9993350,4716941021415950
574-10-1432,265713352,5228400,377575905207615
574-39-9134,614642526,9427734,6011746865591020
574-89-1017,815917321,6130075,5288383264729390
574-45-8175,566683101,6891361,4556664662678690
574-99-7349,696513327,7600651,346849398862196
574-74-9005,775952611,2936008,6011099031737110
574-75-6468,627998829,2130423,5539666252512510
574-16-7994,195705010,6338042,4485985361040950
574-67-8286,187706846,36146,374245773922199
574-12-8234,109295769,98842,6011704106053120
574-59-7421,348280409,7310593,5195953691830000
574-29-9783,170054636,9645343,4929160287578360
574-96-3516,951035097,7355624,349521621985592
574-68-6124,369298854,6528827,6011787826606600
574-22-8668,385130718,8618354,5184887000191070
574-73-7792,273360459,4577163,4716696009267530
574-30-9370,312113493,8215239,378176517145167
574-43-0353,263417277,4234859,6011896265219570
574-87-6023,774225288,1957218,5231819974840900
574-17-3433,643081902,1278693,4716699371232460
574-84-3946,350653820,917448,370103020407916
574-56-6010,465655793,8602044,6011748936359610
574-19-0962,427171069,4447666,5295074546008520
574-53-7256,235054016,7973821,4916426493020750
574-35-1950,370186675,4148808,346702360474922
574-05-7635,215816651,4389705,6011486889538460
574-20-7274,840258962,528288,5145572555224580
574-51-0785,282834586,5805841,4916618309094940
574-97-4724,384839942,773328,344703702184577
574-09-1551,777290049,3390602,6011387459391050
574-44-7350,546813380,4574290,5313301998019320
574-93-9936,403322471,3678273,4556976890582770
574-54-0734,279989088,4692418,376005311398684
574-36-8004,986412678,8862898,6011905795875700
574-84-2549,250523628,2156900,5306056704067280
574-04-9031,774172140,386315,4556233378268630
574-65-8662,921798141,3725291,373041044361999
574-95-5463,934904494,4068542,6011941500022850
574-33-6249,306855562,3869669,5134554767104730
574-10-5195,858067084,9243314,4556056599158770
574-28-7374,522242498,5090948,376759926279420
574-20-1226,682747366,5513605,6011595237616670
574-27-4016,589589410,797711,5129731222332520
574-38-0833,585823896,7973684,4539274369795560
574-08-2372,343865821,1923946,342662094282492
574-16-5303,878031014,9005397,6011578974781110
574-30-9719,192623123,6820842,5369451475344210
574-13-6302,146372387,400477,4485644730093510
574-85-4212,351324352,3017119,349677259735442
574-30-6363,948241016,9143551,6011813984373000
574-36-3006,223988791,1415334,5385120730080950
574-13-0954,934072028,1759201,4916154839653470
574-77-2986,226957736,8435851,340935386254839
574-73-0630,775059128,2046318,6011155122810470
574-21-8040,902394309,3325500,5161532488311000
574-74-7487,364037363,2844852,4532814146464730
574-86-0854,771675622,4609153,345750682077833
574-13-1381,904080325,5091647,6011563089506430
574-72-2433,923818959,3192793,5369947665015120
574-65-8544,665234523,7939259,4017729205408500
574-30-8419,534891367,453672,346194937199507
574-26-1534,806750808,1072857,6011099569619230
574-86-7678,124552046,1679521,5265351642060120
574-69-9626,262903665,6017315,4125252704062730
574-40-4838,624703712,9428888,341602040173495
574-98-2438,114684005,5361289,6011199496188250
574-62-0095,891199393,7520164,5340890437728580
574-47-6160,578254526,9504239,4929505460560040
574-64-8311,917982241,9839758,379428503897346
574-40-0760,415011633,9697573,6011751025298490
574-57-4843,196856207,9522013,5553171669316030
574-93-9470,359937201,4562797,4916295998084840
574-23-6110,555675797,1021186,342967371033868
574-25-0957,877659132,1675563,6011733998456600
574-51-3552,105887232,9287679,5214218166786790
574-03-5583,970574626,9418184,4929677098132370
574-26-2353,242500320,2537284,371283152545508
574-01-8162,220082755,292162,6011685123923640
574-93-3475,366618854,5410569,5137064300865530
574-90-6333,125973354,1785883,4373935688349120
574-36-4653,624786309,4421324,378930425611482
574-02-3890,335098683,165956,6011169400382180
574-19-5749,643804505,4030185,5334957934079240
574-78-8260,773935571,4981089,4929731383630920
574-75-7085,684845006,6084490,374160754559037
574-24-7126,400417404,815527,6011684504154270
574-15-6714,551245476,5586856,5110284346768510
574-36-9683,738554808,2959492,4929874418008990
574-82-1637,482453758,1817982,376735486152009
574-11-2067,128270861,3914516,6011469053942510
574-55-1886,901139241,8508856,5359489299691500
574-05-1523,290038451,3251201,4539350413410710
574-58-8778,669892821,8818973,344135846183852
574-88-7171,341479247,2199278,6011113489176010
574-60-6298,997061985,7820018,5442634543421020
574-54-6091,712787485,1366393,4716503296989980
574-61-4899,130699618,5784307,379182173861773
574-58-8341,673333909,8361009,6011236566115960
574-96-0906,156194840,5914195,5187789451406200
574-47-4296,589288854,785126,4753438337888530
574-73-4667,585949821,2271077,370703751780728
574-15-8518,840325632,9214686,6011034287973910
574-96-2142,635123931,7537718,5205452746321880
574-63-4240,860490763,2885479,4539115121009580
574-51-7262,837614364,5243655,371439763429645
574-27-8159,402790727,7317221,6011196315269450
574-41-7015,878143164,4463671,5506067423174030
574-55-1439,810881792,5579937,4894076249408610
574-42-5573,888446832,1334595,341136888972601
574-91-3102,626951309,7877600,6011084619742380
574-14-9726,260012259,9951504,5363147112128480
574-37-4320,985231020,2710245,4916099144748130
574-98-0629,283272617,656619,341276827226980
574-96-9008,278649483,863434,6011061040515550
574-57-8282,696167977,5931857,5171599054261610
574-32-7006,190815865,3813718,4063790530037230
574-99-0859,697275180,915629,346239909486190
574-86-5787,984604546,5441133,6011458093762020
574-45-3595,204008268,1175220,5484686542041140
574-10-6756,526462639,4136778,4024007122157220
574-91-8013,889301524,7305095,348968781133953
574-00-9537,767991796,2406735,6011925969559670
574-12-0100,828774447,3705275,5174268627982230
574-66-5320,802552409,5719751,4485133589524870
574-36-6858,760613505,170755,348982237779616
574-65-3458,414640895,9469080,6011741210051750
574-69-6030,956090327,8464721,5232773180925390
574-28-0950,990569850,1870488,4556490775715730
574-57-7333,301529612,2832992,348685752292739
574-13-9140,511588364,3025613,6011404041947900
574-46-9453,943968034,3696748,5316843427661280
574-37-9156,792983841,2450874,4556791780945160
574-91-6480,704604543,9506907,379723078853918
574-49-5517,579150556,6280083,6011272632824640
574-87-6760,761240622,3311502,5555982336632150
574-53-3394,212274844,5669444,4626508726292390
574-88-2062,878220331,2081886,377428296307224
574-87-8345,631783246,2967344,6011719217200780
574-69-9061,535584359,8895218,5412267160143250
574-72-6805,497839941,6330177,4929260228246930
574-57-1457,149118197,8667256,379768915947308
574-43-8184,706937766,4207016,6011677504458080
574-26-9789,925706086,5639919,5329346754797380
574-52-7019,480224176,9413978,4716602098530480
574-96-7970,167054051,2414571,374912649345620
574-52-7389,874534046,6233856,6011726845978610
574-84-0305,442054121,6098812,5500307948076890
574-16-6705,426953177,1541814,4024007112538320
574-05-9508,921438279,6083959,344673642118938
574-42-5606,541598242,1683716,6011636559536450
574-45-7811,236576940,3880520,5371424976826430
574-41-4973,721851865,482929,4485054075492170
574-37-8794,360150344,7087065,345599440155385
574-63-0420,984988799,2919300,6011833132872320
574-77-4392,788981877,6177959,5204295664367710
574-11-8275,490550397,4890768,4024007177304090
574-18-2709,726607916,3780521,343249103924659
574-35-6464,414488163,2776537,6011567910074570
574-56-2651,218687540,4268781,5175655094983850
574-42-5907,290458219,2100611,4556151066770360
574-04-1202,495485691,2621336,377853148617712
574-11-6480,195972325,8686267,6011220196031360
574-70-6581,344054500,2986531,5309953818577420
574-19-6893,793986157,8556615,4485488333558530
574-06-2508,771797101,2217782,347359937306746
574-33-9630,507422618,8070690,6011944711066330
574-37-0868,619537804,6370376,5458981401566600
574-76-0282,278424815,1025835,4556510925961770
574-45-1216,529318212,3967165,374639071179983
574-78-2875,664772375,4068789,6011071738664560
574-98-4060,672465624,8266702,5575111194499160
574-00-8634,144162364,529758,4716940797004800
574-80-1613,364724623,4031407,372200803753348
574-34-7564,955724290,1847036,6011103954729780
574-74-8066,489103121,3902058,5470780165850470
574-09-1740,129583703,9025386,4539820891096160
574-95-5567,327784660,3994951,371610781305245
574-88-2270,376547969,2226528,6011341746202880
574-54-9678,737343321,1327727,5346802272494330
574-29-4289,332632715,9386034,4716456216881820
574-93-7769,707752747,6831682,347451866707729
574-14-4754,241537185,2856311,6011914847563170
574-37-4853,898033511,1498,5470296467691920
574-96-4435,839754824,6111443,4916162181408010
574-42-9870,491865201,2257582,378099812893978
574-15-9280,201625249,733957,6011232479470670
574-08-2229,518388666,5378488,5128680882219810
574-93-6668,497277473,8461614,4532685376440970
574-93-4510,580355100,4254324,341400892457300
574-41-0689,396197201,885039,6011286164328570
574-26-4724,798177092,4364628,5532712310817300
574-23-2896,997830779,9290634,4532881689354130
574-00-3536,637574766,1169601,341174813145084
574-81-7921,463994852,6062666,6011360044384610
574-52-0859,698666310,3403778,5151562282571640
574-31-1124,347153736,1617940,4556259619609230
574-71-4028,630533988,9170073,371346796912861
574-64-0639,275195193,7244207,6011098665842390
574-20-3810,541697636,343950,5177061451933310
574-14-5245,591326470,6052170,4532492425195980
574-69-1730,291190112,3025404,345710806625925
574-11-4874,245376961,792690,6011987393147850
574-42-3700,577505112,2539072,5219485348271940
574-59-1887,668160591,2081145,4486659198185750
574-76-2091,292968995,4261598,376075984768562
574-26-6916,577719355,7735834,6011468457313620
574-33-0348,172008659,8919485,5489929036854910
574-22-1230,300223902,5342293,4532063882554490
574-44-2032,788655575,4088833,378179714358310
574-54-9299,997857968,1300619,6011685314266450
574-29-8822,798552425,8862168,5259508204453560
574-59-6943,621323686,5906256,4716679572050420
574-68-8254,104212402,2143548,375232270352335
574-59-1835,167934630,9046001,6011846159064300
574-16-7967,846450101,8080311,5164893853929560
574-69-6747,178210965,375770,4532232166218450
574-81-7087,339924494,755835,340016895007610
574-81-2586,275368785,5427706,6011298218211420
574-07-3219,118034766,3884594,5287980448190730
574-17-8180,455649958,3028511,4592175754546280
574-75-7374,887659664,1626461,378590793439310
574-06-3295,587268937,6555929,6011395764956380
574-13-6098,566167414,9069442,5248498005285830
574-57-9587,826471959,5147093,4556570671644090
574-33-3845,451870876,3887446,373252226425714
574-28-6035,355726121,4678123,6011002845721330
574-19-7897,220122507,582740,5255876068720220
574-60-7720,412241702,3115794,4916241200069890
574-10-4320,395154781,1506924,340063331574654
574-65-2436,592669784,3320179,6011595351194440
574-80-6608,765223361,5457431,5533903754821460
574-24-0014,260264466,4005663,4716967533420410
574-26-6503,352626366,8387015,343054618877503
574-10-4599,825930818,8089657,6011561078920820
574-52-6899,631706349,8264189,5375381764376640
574-25-2325,941164779,2266927,4929251231639130
574-19-2257,523901988,4364265,374573766264141
574-28-6233,413747895,4647162,6011945453465710
574-96-1600,325274352,5906708,5324222731569860
574-57-5680,527264878,1195076,4716066412296620
574-28-1099,457238096,1701303,372592911813026
574-02-1771,910107307,6933095,6011817339564380
574-29-0783,973628537,991364,5278405183923910
574-71-0300,885696395,5933179,4916577354483660
574-69-3926,857425005,2086996,375794319640764
574-63-9958,405256827,255798,6011774699592220
574-51-0923,408878726,8957544,5516976322712130
574-77-9124,610609361,3966494,4556810603716120
574-64-3197,616075098,7169932,347570911503898
574-63-8412,828315278,5568346,6011647291771860
574-47-7829,727316774,1452865,5221376502596690
574-87-3618,245682631,7245048,4556269069822420
574-84-2954,999902792,3072572,347374676253355
574-64-9732,759322421,688875,6011850648102420
574-38-0595,278884684,6672159,5239073042692100
574-14-4371,938790821,4503196,4916407352576220
574-69-7325,182463226,329193,379494710396043
574-90-7622,901693387,7631836,6011460346601170
574-89-1675,227822080,984546,5248476681025050
574-56-0518,420872562,4328568,4556272989419360
574-15-6816,151094919,7767856,341758282603431
574-72-1520,421526245,5989020,6011063241432280
574-15-6772,301148901,8085202,5459705380917050
574-83-4392,349108933,1961149,4540755422066560
574-63-6726,211193291,7256191,348962173530942
574-14-7219,225242262,3267514,6011298913956900
574-87-4935,302518210,96363,5300703903329370
574-08-1293,404052057,1733394,4929403214254680
574-19-1864,421877829,2705915,349470944065205
574-19-6155,537752472,5241258,6011231882058770
574-69-8941,996785420,88144,5471009163457770
574-65-5855,381822524,7018090,4916008022902280
574-53-8390,531419246,5752984,349380327739724
574-63-6447,204052509,9110756,6011093817363690
574-42-3313,607993008,1497196,5367519102373770
574-53-2278,945506397,2655452,4765123014221740
574-27-3348,994337962,2788218,378536271151034
574-65-8715,592979422,1232653,6011498208628090
574-84-2950,667306189,150695,5401179151589510
574-48-6433,624378054,2558855,4929242737525410
574-77-6976,656485142,610978,345989311980724
574-43-9274,525179234,7823453,6011468357850810
574-80-6983,975892337,3289361,5590549488633180
574-92-4884,289296332,4190064,4532005162933170
574-54-3859,404349657,3804366,372383418809307
574-40-6987,792571096,1860593,6011542057596750
574-56-5393,455284598,6365937,5246308563221280
574-75-7587,766498449,7717667,4532231152219720
574-71-4166,343832783,7160809,373061851869702
574-95-8390,561789316,3489833,6011123975545400
574-07-6130,198749772,3584575,5285843645456990
574-51-0764,399690440,9874339,4299303601293860
574-09-5290,482954214,1503331,345461796073938
574-80-7014,398898528,3413560,6011949892347810
574-46-8787,722906614,8305191,5445057792426770
574-12-1149,417950768,2068792,4193845429944590
574-85-3201,426073969,9576537,348939531522001
574-05-5570,358767028,2168500,6011071424597560
574-12-2481,988553672,6462063,5231368811250330
574-60-4398,450398636,2929417,4556682256970170
574-31-3186,428387163,3084519,348460410657503
574-36-8693,412877420,4964720,6011848609827260
574-30-0906,611949993,1665579,5121197203110470
574-73-8269,795516859,2290277,4716319140117570
574-86-9962,243897978,1046918,348519800932345
574-01-1321,295571914,4902158,6011103513909690
574-58-7337,982776458,2153915,5167490709354360
574-00-3357,397677296,7875933,4556330513766030
574-03-4578,484109897,467863,379544383384138
574-90-3728,996079034,4540490,6011530370340270
574-72-9793,797125488,596656,5527568050745210
574-52-2237,221041687,8057376,4916626122880070
574-74-5099,504776940,1226596,372527723441129
574-75-4896,831089218,9797518,6011260792251520
574-09-1836,959453100,3972281,5486318606562970
574-23-6169,187849249,3332916,4929685184758160
574-13-0619,675958345,3704025,370114094828556
574-02-2669,456371837,6036635,6011068436120210
574-38-6376,639439856,9000403,5544109921762930
574-21-4755,621814674,6665155,4539903465839500
574-35-0114,477808333,3201532,345282488090430
574-54-8334,543207397,4732089,6011655492657880
574-03-3394,890878155,2144137,5504367664441250
574-38-6735,186114668,5943884,4539931464104850
574-39-4779,751984749,2165852,375369262265461
574-18-9687,842031893,3228875,6011816297867600
574-64-3065,302120775,3547439,5113813237527300
574-92-7588,766619518,2286046,4716203490913430
574-42-0178,194230340,5479993,342116026229154
574-63-9220,365448910,9843519,6011365565503360
574-84-8387,856345464,6204700,5455950464917080
574-81-7011,739269008,2389706,4916050526674920
574-54-1365,113464316,7753467,377802074610647
574-15-4855,571558358,4983696,6011574971717090
574-13-0571,872636774,9567911,5265763215290090
574-20-1662,742774874,3916784,4485345989430790
574-50-9799,161770304,3079485,374292737362922
574-83-9902,346517599,116746,6011979352775710
574-19-7437,778943183,9013439,5331600908482950
574-70-2994,412297190,312624,4716016387878120
574-00-1129,552831554,366217,376806340669288
574-60-9429,133035788,4323136,6011468851577300
574-77-8707,438349960,1672945,5511450073696270
574-13-0050,448241037,7158745,4556389794861700
574-41-2078,521214935,4171472,348915470985938
574-17-0204,614250724,7164347,6011960885378660
574-19-3394,237585337,7260733,5347754083292840
574-40-3782,882191366,7921854,4024007176928740
574-12-1754,246148990,1051868,343385199099483
574-09-6119,639050242,7785568,6011935458984380
574-28-2993,364687884,6320137,5124535580668580
574-61-3768,931210480,669281,4532702223208810
574-40-1217,571606814,4730191,374961512472417
574-61-3485,885371632,9887208,6011221542248410
574-26-6244,117891523,7731159,5173012603266320
574-06-3914,873722127,5201869,4556611414934090
574-88-1263,230552278,7587077,345343197425992
574-09-4053,368678038,4260086,6011487849945910
574-82-3183,161708305,3863560,5248766206071480
574-31-6204,554507528,6116079,4556336945316890
574-00-3559,465685714,3782590,345726640271866
574-34-8895,590236970,8510603,6011763445823490
574-60-3336,865045451,1249751,5468950432679200
574-76-6077,685635327,3775994,4716389418079000
574-37-1221,199942413,3172789,341107099099930
574-69-0143,177750612,5527138,6011309446252060
574-16-9567,266060702,3159882,5385605726435330
574-88-7066,186641969,198358,4485809815902290
574-81-4465,801721582,4319923,347051805208738
574-49-9306,845215683,5802966,6011095882913410
574-26-2680,435352535,6908573,5444281346704770
574-50-9246,514926063,2812719,4532264129131580
574-60-7098,803867107,7468946,371480347700887
574-63-9255,884257469,9976700,6011745498041710
574-96-3200,325387432,7221425,5167438831232240
574-69-5370,173097610,246172,4556756344857210
574-44-7103,221560263,9007859,343479266533860
574-95-7584,216768712,9817434,6011443415614850
574-38-5392,278707215,8742293,5135513742722200
574-87-8188,161195044,2807207,4024007123244890
574-44-4127,562364378,1760239,347414843288338
574-41-2656,386247260,3642983,6011093818146900
574-54-7919,645814195,9656036,5375433815964430
574-84-1789,456538742,2798654,4024007169114600
574-48-9151,522591129,7770799,379055565612840
574-67-7941,863066448,524401,6011693433226060
574-35-2701,143172984,6454922,5291811102642580
574-39-1834,902453396,3602946,4539057917461560
574-56-1024,116661469,9534823,347914902685787
574-85-1621,478232486,889070,6011465032390250
574-97-6091,704439937,9657969,5481398147208130
574-97-6910,119479863,2272556,4929420239904140
574-54-5701,366708285,7187227,345911363597172
574-81-5335,320039811,6706945,6011955484236960
574-41-7438,472083133,9520072,5359590030119480
574-30-8467,399368077,73861,4893979652595510
574-83-3894,719398623,1731638,347505547565333
574-95-4024,887444483,5632822,6011561096188440
574-60-2105,127946645,9196956,5449887129867560
574-70-7566,540682023,4354092,4916924706416670
574-30-9497,507891689,4691349,340572360880535
574-35-0642,382300194,2291562,6011382391229360
574-97-7268,677066649,902304,5461164053580870
574-45-7322,161542964,9650978,4916982550576530
574-71-7716,443750042,3171147,343313554003205
574-44-6865,876218544,3605632,6011711864815350
574-18-6254,527545120,4377024,5182884955624020
574-71-0243,473396329,4248816,4556211516253970
574-85-9426,221774463,910329,345517437068213
574-40-6481,162947738,8348376,6011749731026470
574-30-2547,778168166,9599840,5516256987633240
574-44-6178,610632095,6294001,4716278306467770
574-13-8061,627176313,6335290,340858408388544
574-45-2844,211233066,7212970,6011048020241890
574-83-0766,587783688,9878052,5429032139673810
574-23-0380,725881323,4046659,4024007191414260
574-64-2296,966432080,4355655,342957707265615
574-08-3784,327110677,1683212,6011428542169660
574-67-8012,309854648,3469063,5528921772839780
574-71-2373,902945404,373714,4532437689730120
574-47-8343,280274808,8729309,374002058946215
574-03-5127,988644480,3468158,6011824912631080
574-50-6293,170919214,4602982,5249131564047020
574-84-3002,275124619,9100016,4024007112425660
574-30-5023,686872523,7788030,378981954794215
574-12-1176,819124344,7192900,6011356156945240
574-73-5660,439072342,5271936,5105325242284370
574-91-2092,824473994,9135655,4242207929637430
574-72-4089,851585873,5658468,343298748508096
574-29-2591,108882557,101301,6011087294871780
574-50-3244,206056543,7392917,5422983116286440
574-59-1044,342338218,2728309,4532865279471020
574-64-5722,655112484,8051845,344126726263922
574-78-0951,506566476,8552759,6011977227245220
574-79-1679,110526491,2660981,5577477675613590
574-37-6990,486143515,4763723,4716583464754350
574-49-2677,967211126,7552825,343481169459755
574-16-9285,680528856,3438512,6011135340652500
574-07-5857,632132024,4982892,5420027226711790
574-28-7588,847742561,8071597,4485387974714070
574-23-7692,547531553,2070508,378308027235804
574-41-2506,234741466,9824076,6011628170859530
574-04-0247,326535001,9645784,5350692376225110
574-07-7161,846246668,1742916,4929162719633910
574-49-4194,126715432,6386038,349268121295904
574-25-9206,210937559,1411189,6011689794459280
574-65-4387,529431812,6536818,5481171552196370
574-33-7735,999556826,7656829,4539264275591540
574-01-0096,158327220,3695827,342459624253469
574-34-7840,332208086,8655349,6011779289662340
574-99-7402,354250919,2662973,5128590034397380
574-66-6882,741030054,7839091,4024007191772860
574-57-8164,719620771,933237,345308825522353
574-05-1810,852533104,8180258,6011359863633870
574-01-7512,681096051,1877904,5414068380960060
574-02-7761,452696665,2743333,4539339074096210
574-15-7351,572711557,2725759,347326262611966
574-84-8361,514714863,270806,6011735178590230
574-40-6177,996957639,5420901,5435605156802400
574-12-0687,870765013,6753359,4024007145260600
574-24-6052,511303733,827604,349071960583988
574-48-6240,437245296,8783112,6011172980422960
574-90-4099,619098779,3729591,5236535903051700
574-79-6765,875139390,8339026,4716365600305220
574-65-1634,778946061,5723135,347454129528502
574-48-2490,324361293,6205402,6011831891353400
574-54-0567,515343114,3588066,5469329654386820
574-27-2053,190871472,8216584,4556720778146440
574-59-5295,152666358,995382,346289048124616
574-93-5863,136902537,1866742,6011297476464060
574-87-6273,796641032,6316572,5231019896007330
574-51-5904,372697581,2278170,4485971375140540
574-99-1682,142246206,4325320,375441584875200
574-14-1626,193330341,99248,6011941180786460
574-79-0162,292110746,1419496,5215488144885520
574-45-4890,619732528,4828962,4485311443060550
574-63-9402,517353093,6457876,378529214950885
574-12-7264,726188290,5280961,6011910185373830
574-72-6670,172190353,7232931,5127031478345220
574-78-7651,426758031,9441547,4539242990978210
574-51-0786,624066017,5736140,376585677468841
574-88-9204,621194267,8569341,6011856615862400
574-97-7344,774165294,1799396,5109509024235860
574-55-8574,182765028,8499883,4532497349632740
574-59-4817,600332911,7917142,376295468656428
574-17-5503,948810684,4314561,6011435730320900
574-39-3891,637019112,9808644,5391876329669430
574-59-9537,582077741,5254673,4532337609959620
